Tên sản phẩm,Giá
PC CPS Gaming G01 i3 12100F / 16GB - 256GB / GTX 1650,10790000đ
PC CPS văn phòng S02 i3 12100 / 8GB - 256GB,6690000đ
PC CPS văn phòng S01 R3 4300G / 8GB - 256GB,5590000đ
PC CPS Gaming G02 i3 12100F / 16GB - 256GB / RTX 3050,12390000đ
Máy tính All In One văn phòng MSI PRO-AP242-12M-213VN,12990000đ
PC CPS Gaming G05 i3 12100F / 16GB - 256GB / RTX 3060,15290000đ
PC CPS Đồ Hoạ D07 i5 14600F / 16GB - 500GB / RTX 3060,23690000đ
PC CPS văn phòng S04 i5 12400 / 8GB - 256GB,8090000đ
PC CPS Gaming G04 i5 12400F / 16GB - 256GB / GTX 1650,12190000đ
PC CPS Đồ Hoạ D01 i5 12400F / 16GB - 256GB / GTX 1650,12390000đ
PC CPS Gaming G16 i9 14900K / 32GB - 500GB / RTX 4070 Ti,89990000đ
PC Mini Asus NUC PN64-B-S5188MD,10490000đ
PC CPS Gaming G07 i5 12400F / 16GB - 256GB / RTX 4060,19790000đ
PC CPS Gaming G08 i5 12400F / 8GB - 256GB / RX 6600,13490000đ
PC CPS Đồ Hoạ D04 i7 14700F / 16GB - 500GB / RTX 4060,26990000đ
PC CPS Gaming G06 i5 12400F / 16GB - 256GB / RTX 3060,17490000đ
PC CPS văn phòng S03 R5 5600G / 8GB - 256GB,8190000đ
PC CPS Gaming G03 R5 4500 / 16GB - 256GB / GTX 1650,11490000đ
PC CPS Đồ Hoạ D02 i5 12400F / 16GB - 256GB / RTX 3060,18290000đ
Máy tính AIO ASUS A5402WVAT-BPD028W,21990000đ
PC CPS Gaming G14 i5 14400F / 16GB - 256GB / RTX 3060,19990000đ
PC Mini Asus NUC Nucatlas Canyon Pentium,4490000đ
PC CPS Gaming G15 i5 12400F / 16GB - 500GB / RTX 4060,22490000đ
PC Mini Asus VIVID NUC 13Th Arena Canyon,13690000đ
PC CPS Gaming G17 i3 12100F / 8GB - 256GB / GTX 1650,10990000đ
PC CPS Đồ Hoạ D03 i7 14700F / 16GB - 256GB / RTX 3050,22990000đ
Máy tính PC Asus S500SE-313100039W,9590000đ
PC CPS Đồ Hoạ D09 i5 14700K / 32GB - 500GB / RTX 4070,51690000đ
Máy tính PC Mini Asus ROG NUC 14TH Scorpion Canyon U9,58890000đ
PC văn phòng Asus S500SE-513400035W,11990000đ
PC CPS Văn Phòng S06 i3 14100 / 16GB - 256GB,8390000đ
Máy tính All In One ASUS A3402WBAK-WPC049W,15790000đ
PC CPS Đồ Hoạ D08 i5 14700F / 32GB - 500GB / RTX 3060,38990000đ
PC CPS Văn Phòng S07 i5 14400 / 16GB - 256GB,10790000đ
Máy tính AIO ASUS A3402WVAK-WPC080W,14690000đ
PC Mini Asus NUC 12Th WallStreet Canyon,8790000đ
PC CPS Đồ Hoạ D06 i5 14400F / 8GB - 256GB / RTX 3050,17390000đ
PC CPS văn phòng S08 i7 14700 / 16GB - 256GB,15190000đ
Máy tính AIO ASUS A3202WBAK-WA155W,16390000đ
Máy tính AIO ASUS A3402WBAK-WPC048W,13290000đ
PC CPS đồ họa D05 i7 12700F / 16GB - 256GB / RTX 4060 OC,26990000đ
PC CPS văn phòng S05,8390000đ
PC Mini Asus NUC 13TH Arena Canyon,9190000đ
PC Mini Asus NUC 13Th Arena Canyon i5,13290000đ
PC văn phòng Asus S500SE-313100029W,9990000đ
PC Mini Asus NUC 12Th WallStreet Canyon i5,10690000đ
PC Asus S500TE-513500014W,12590000đ
PC CPS Gaming G11 i3 12100F / 8GB - 256GB / RTX 3050,12990000đ
PC CPS Gaming G09 i3 12100F / 8GB - 256GB / RX 6600,12290000đ
PC CPS Gaming G10 R5 5600G / 8GB - 256GB / RX 6600,13990000đ
PC CPS Gaming G13 i7 12700F / 16GB - 256GB / RTX 4060,23090000đ
PC Mini Asus ROG NUC 14th Scorpion Canyon U9,49990000đ
PC Mini Asus ROG NUC 14Th Scorpion Canyon U7,39990000đ
Máy tính PC Mini Asus ROG NUC 14TH Scorpion Canyon U7,49890000đ
PC CPS Gaming G12 i5 12400F / 16GB - 256GB / RTX 3060,17790000đ
Máy tính văn phòng All In One văn phòng Asus V241EAT-BA057W,9990000đ
Máy tính văn phòng All In One ASUS A3402WBAK-WA549W,13990000đ
Máy tính AIO ASUS A3202WBAK-WPB018W,12990000đ
Máy tính All In One văn phòng Asus A3202WBAK-WA018W,17190000đ
PC Dell Vostro 3020SFF,Giá Liên Hệ
Máy tính AIO ASUS A3402WVAK-WPC106W,Giá Liên Hệ
Máy tính All In One văn phòng Asus A3402WBAK-WA716W,Giá Liên Hệ
Máy tính AIO ASUS A3402WBAK-WPB018W,Giá Liên Hệ
PC Dell Vostro 3020T I7-13700 42VT3020MT0006,Giá Liên Hệ
PC Dell Vostro 3020SFF I5-13400 42VT3020SFF0005,Giá Liên Hệ
Máy tính AIO Dell Inspiron 5420 I7-1335U 42INAIO540020,Giá Liên Hệ
PC văn phòng Asus S500TE-513400034W,Giá Liên Hệ
PC văn phòng Asus S500SE-513400036W,Giá Liên Hệ
PC CPS Đồ Họa D10,Giá Liên Hệ
PC CPS Gaming G18,Giá Liên Hệ
PC Mini Asus NUC 12th Serpent Canyon,Giá Liên Hệ
PC văn phòng Asus S500TE-313100020W,9490000đ
PC Asus S500SE-513500008W,12690000đ
PC Asus S500TE-313100037W,9590000đ
Máy tính AIO Dell Inspiron 5420 42INAIO540019,Giá Liên Hệ
PC CPS Gaming G19,Giá Liên Hệ
PC CPS Gaming G20,Giá Liên Hệ
PC văn phòng Dell Inspiron 3020 42IN3020MT0002,Giá Liên Hệ
PC Asus S500TE-713700026W,Giá Liên Hệ
PC Mini Pc Asus NUC 14 Pro Revel Canyon U7,19490000đ
PC Mini Asus NUC 14 Pro Revel Canyon U3,11690000đ
PC Mini Asus NUC 14 PRO+ Revel Canyon White U7,21890000đ
PC CPS x ASUS BTF 01 I7,69990000đ
PC Mini Asus NUC 14 Pro Revel Canyon U5,15990000đ
PC Mini Asus NUC 14 Pro+ Revel Canyon White U5,18359000đ
